Food_Code,Thai_Name,English_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
Z060059,"แครกเกอร์ มันฝรั่ง, ไฮไท","Cracker, potato",8.16,8.16,16.33,0.00,73.47,0.00
Z060067,แครกเกอร์ รสเค็ม,"Cracker, salted",9.69,8.03,22.50,0.00,63.03,0.00
Z060006,แครกเกอร์ รสชีส,"Cracker, cheese",11.99,7.75,24.66,0.00,61.59,0.46
Z060052,แครกเกอร์ รสดั้งเดิม,"Cracker, original",8.25,7.63,20.29,0.00,66.65,1.58
Z060039,แครกเกอร์ รสนม,"Cracker, milk flavour",17.04,7.60,24.64,0.00,70.39,0.00
Z060055,"แครกเกอร์ รสปราปริก้า, บิ๊กซี","Cracker, paprika flavour",10.00,10.00,20.00,0.00,66.67,2.30
Z060046,"แครกเกอร์ข้าวโอ๊ตกับลูกเกด, ไอเคโอ","Cracker, oat, raisin",18.52,11.11,18.52,0.00,66.67,7.40
Z060074,"แครกเกอร์เคลือบช็อกโกแลต สอดไส้ครีมกลิ่นวานิลลา, วอยซ์ โอเวอร์โลด","Cracker, vanilla cream filling, chocolate coated",40.00,4.00,20.00,0.00,72.00,0.00
Z060017,"แครกเกอร์เคลือบช็อกโกแลต สอดไส้ครีมรสช็อกโกแลต, วอยซ์ โอเวอร์โลด","Cracker, chocolate cream filling, chocolate coated",40.00,8.00,24.00,0.00,68.00,0.00
Z060047,"แครกเกอร์ผสมน้ำมันมะกอก และใบโรสแมรี่, โคลุสซี่","Cracker, olive oil and rosemary",1.94,11.11,13.89,0.00,72.22,0.00
Z060075,"แครกเกอร์ผสมผัก, ไฮไลพ์","Cracker, vegetable",0.00,10.00,23.33,0.00,63.33,3.30
Z060061,"แครกเกอร์มันฝรั่งแผ่นบาง รสสาหร่ายซอสญี่ปุ่น, เนลี่","Cracker, potato, seaweed and japanese sauce flavour",13.33,6.67,26.67,0.00,63.33,0.00
Z060028,"แครกเกอร์สอดไส้ครีม 2 ชั้น กลิ่นครีมมี่บัตเตอร์, วอยซ์","Cracker, double layer, creamy butter flavoured filling",20.00,8.00,24.00,0.00,68.00,2.80
Z060031,"แครกเกอร์สอดไส้ครีม 2 ชั้น กลิ่นสตรอเบอร์รี่, วอยซ์","Cracker, double layer, strawberry flavoured filling",34.38,6.25,21.88,0.00,68.75,0.00
Z060027,"แครกเกอร์สอดไส้ครีม 2 ชั้น รสช็อกโกแลต, วอยซ์","Cracker, double layer, chocolate cream filling",18.75,9.38,18.75,0.00,68.75,0.00
Z060041,แครกเกอร์สอดไส้ครีม 2 ชั้น รสนม,"Cracker, milk, double layer, cream filling",21.88,9.38,21.88,0.00,68.75,0.00
Z060013,"แครกเกอร์สอดไส้ครีม รสชีส, มายช้อยส์","Cracker, cheese, cream filling",10.56,6.12,28.62,0.00,59.17,0.95
Z060040,แครกเกอร์สอดไส้ครีม รสนม,"Cracker, milk flavoured cream filling",22.36,6.39,26.94,0.00,63.61,0.00
Z060033,แครกเกอร์สอดไส้ครีม รสมะนาว,"Cracker, lemon flavoured cream filling",7.41,1.23,8.64,0.00,22.22,0.00
Z060020,"แครกเกอร์สอดไส้ครีมกาแฟ, อิมพิเรียล","Cracker, coffee cream filling",23.33,3.33,26.67,0.00,63.33,0.00
Z060035,"แครกเกอร์สอดไส้ครีมนม, สวีตไทม์","Cracker, milk cream filling",18.52,7.41,29.63,0.00,62.96,0.00
Z060026,"แครกเกอร์ไส้ครีม กลิ่นวนิลลา, ไวโอเลต","Cracker, creamy vanilla flavoured filling",26.67,3.33,26.67,0.00,66.67,0.00
Z060021,"แครกเกอร์ไส้ครีมกาแฟ, บิ๊กซี","Cracker, coffee cream filling",31.25,6.25,21.88,0.00,68.75,2.20
Z060019,"แครกเกอร์ไส้ครีมรสโกโก้, ไวโอเลต","Cracker, cocoa cream filling",21.21,6.06,24.24,0.00,66.67,0.00
Z060073,"แครกเกอร์ไส้ครีมสตรอเบอร์รี่, สวีตไทม์","Cracker, strawberry cream filling",14.81,7.41,29.63,0.00,62.96,0.00
Z060048,"แครกเกอร์ไส้ครีมส้ม, บิ๊กซี","Cracker, orange cream filling",30.56,5.56,30.56,0.00,61.11,1.90
Z060058,"แครกเกอร์ไส้แยมสับปะรด, บิ๊กซี","Cracker, pineapple jam filling",30.10,4.61,13.19,0.00,73.63,2.20
Z060071,แครกเกอร์อบกรอบรสซาวร์ครีมและหัวหอม,"Cracker, sour cream and onion flavour",6.67,3.34,11.67,0.00,33.34,0.00
Z060072,"โซอ์ แครกเกอร์ แครกเกอร์ถั่วเหลือง, มิซูร่า","Cracker, soy, plain",5.00,12.50,15.00,0.00,65.00,0.00
Z060069,"เทเบิล วอเตอร์ วิท โทสเต็ด เซซามิ ซีดส์ (แครกเกอร์ผสมเมล็ดงา), คาร์ส","Cracker, sesame seed",3.23,9.68,8.06,0.00,77.42,0.00
Z060043,"บัตเตอร์ แครกเกอร์ รสเนยสด, ดอกบัว","Cracker, mini, butter flavour",13.33,6.67,23.33,0.00,66.67,3.30
Z060022,"เบเกอร์ส ชอยส์ ครีมแครกเกอร์ส, อิมพิเรียล","Cracker, cream",0.00,10.00,13.33,0.00,70.00,2.30
Z060081,"เบเกอร์ส ชอยส์ โฮลวีท ครีม แครกเกอร์, อิมพิเรียล","Cracker, whole wheat cream",0.00,10.00,23.33,0.00,63.33,3.30
Z060068,"เปเปอร์ ติน แครกเกอร์ รสงา, มายช้อยส์","Cracker, sesame flavour",2.80,12.00,10.00,0.00,68.00,0.00
Z060063,"พัฟ แครกเกอร์, บิสชิน","Cracker, puff",13.33,6.67,23.33,0.00,66.67,0.00
Z060001,"มอลคิสท์ แครกเกอร์, มอลคิสท์",Cracker,14.81,7.41,14.81,0.00,74.07,2.60
Z060042,"มินิแครกเกอร์ เอ.บี.ซี., มาร์วิน","Cracker, mini, alphabet shape",15.15,6.06,15.15,0.00,60.61,3.00
Z060045,"มินิแครกเกอร์สอดไส้ แยมสับปะรด, เอ็มแอนด์เค","Cracker, mini, pineapple jam filling",36.67,3.33,11.67,0.00,76.67,2.30
Z060004,"มินิบัตเตอร์แครกเกอร์, ดอกบัว","Cracker, butter, mini",16.67,10.00,30.00,0.00,60.00,2.30
Z060056,"เมจิกแครกเกอร์สอดไส้ครีม รสเนยถั่ว, JACK' n JILL","Cracker, peanut butter cream filling",20.00,10.00,26.67,0.00,56.67,2.30
Z060015,แครกเกอร์สอดไส้ครีม รสช็อกโกแลต,"Cracker, chocolate cream filling",27.19,7.53,17.96,0.00,63.86,0.65
Z060066,"ฮันท์เล่ย์ แอนด์ พาล์มเมอร์ส ครีมแครกเกอร์ โทสต์ ฌซซามิ (ครีมแครกเกอร์ รสงาคั่ว), ฮันท์เล่ย์ แอนด์ พาล์มเมอร์ส","Cracker, roasted sesame flavour",2.59,12.22,14.81,0.00,64.07,0.00
Z060079,โฮลวีท แครกเกอร์,"Cracker, whole wheat",3.33,8.15,20.37,0.00,65.18,0.00
Z060070,"ไฮไลพ์ แครกเกอร์โรยงา, อิมพิเรียล","Cracker, sesame seed topping",0.00,9.38,18.75,0.00,68.75,3.10
B22,"ข้าวเกรียบกุ้ง, ทอด","Crackers, shrimp, fried",2.44,6.85,21.34,0.00,0.00,1.60
Z060065,"พัฟฟ์แซนวิชแคร็กเกอร์สอดไส้ครีมกลิ่นโยเกิร์ตสตรอเบอร์รี่ ผสมสตรอเบอร์รี่คริสตัลบีดส์, Yodutch","Cracker, puff, strawberry yoghurt cream filling",26.67,6.67,30.00,0.00,60.00,10.00
