Food_Code,Thai_Name,English_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
Q38,"เครื่องดื่มนมถั่วเหลือง, ผสมไวท์มอลต์","Beverage, soybean, milk, with white malt",0.00,11.18,11.47,0.00,69.09,0.00
Q37,"เครื่องดื่มนมถั่วเหลือง, เสริมช็อกโกมอลต์","Beverage, soybean, milk, with chocolate and malt",0.00,11.03,11.87,0.00,70.50,0.00
Q40,"ชานม, ต่อ 100 มล.","Tea, with milk, per 100 mL",3.50,1.68,1.10,40.00,0.00,0.00
J2,"นมข้น, แปลงไขมัน, รสจืด","Millk, condensed, filled, unsweetened",8.00,6.36,6.55,123.00,0.00,0.00
J4,"นมข้น, แปลงไขมัน, สูตรน้ำมันปาล์มผสมมันเนย, รสหวาน","Milk, condensed, filled, recombined with butter fat and palm oil, sweetened",0.00,7.49,8.10,330.00,0.00,0.00
J5,"นมข้น, หวาน","Milk, condensed, sweetened",56.50,7.94,9.19,342.00,0.00,0.00
J51,"นมขาดมันเนย, พาสเจอร์ไรส์, ต่อ 100 มล.","Milk, skimmed, pasteurised, per 100 mL",5.40,4.19,0.11,42.00,0.00,0.00
J3,"นมคืนรูป, ขาดมันเนย, ยูเอชที, ต่อ 100 มล.","Milk, recombined, skimmed, UHT, per 100 mL",6.30,3.23,0.20,43.00,0.00,0.00
J8,"นมคืนรูป, พร่องมันเนย, ยูเอชที, ต่อ 100 มล.","Milk, recombined, low fat, UHT, per 100 mL",7.28,3.06,1.59,55.50,0.00,0.00
J12,"นมคืนรูปปรุงแต่ง, ยูเอชที, รสต่างๆ, ต่อ 100 มล.","Milk, recombined, flavoured, UHT, different flavours, per 100 mL",9.55,3.10,3.45,83.00,0.00,0.50
Q10,"นมถั่วเหลือง, ยูเอชที, ต่อ 100 มล.","Soybean, milk, UHT, per 100 mL",8.30,2.90,3.34,79.00,0.00,0.70
J14,"นมปรุงแต่ง, อัดเม็ด, รสต่างๆ","Milk, flavoured, tablet, different flavours",43.47,17.30,16.70,410.00,0.00,10.30
J10,"นมเปรี้ยว, พร้อมดื่ม, ขาดมันเนย, พาสเจอร์ไรส์, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, skimmed, pasteurised, different flavours, per 100 mL",0.00,1.52,0.08,75.00,0.00,0.00
J15,"นมเปรี้ยว, พร้อมดื่ม, ขาดมันเนย, ยูเอชที, รสต่างๆ, แคลเซียมสูง, ต่อ 100 มล.","Yoghurt, drinking, skimmed, UHT, different flavours, high calcium, per 100 mL",17.62,1.80,0.00,77.00,0.00,0.00
J13,"นมเปรี้ยว, พร้อมดื่ม, ขาดมันเนย, ยูเอชที, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, skimmed, UHT, different flavours, per 100 mL",13.51,2.00,0.05,73.00,0.00,0.00
J17,"นมเปรี้ยว, พร้อมดื่ม, พร่องมันเนย, พาสเจอร์ไรส์, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, low fat, pasteurised, different flavours, per 100 mL",15.92,1.59,0.28,76.00,0.00,0.00
J25,"นมเปรี้ยว, พร้อมดื่ม, พาสเจอร์ไรส์, รสต่างๆ ต่อ 100 มล.","Yoghurt, drinking, pasteurised, different flavours, per 100 mL",15.47,1.55,1.56,87.00,0.00,0.00
J20,"นมเปรี้ยว, พร้อมดื่ม, พาสเจอร์ไรส์, รสธรรมชาติ, ต่อ 100 มล.","Yoghurt, drinking, pasteurised, plain, per 100 mL",15.50,1.64,1.22,93.00,0.00,0.00
J34,"นมเปรี้ยว, พร้อมดื่ม, ยูเอชที, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, UHT, different flavours, per 100 mL",13.60,1.55,1.34,91.00,0.00,0.00
J21,"นมเปรี้ยว, พร้อมดื่ม,ยูเอชที, รสธรรมชาติ, ต่อ 100 มล.","Yoghurt, drinking, UHT, plain, per 100 mL",13.50,1.60,1.35,84.00,0.00,0.00
J52,"นมพร่องมันเนย, พาสเจอร์ไรส์, รสธรรมชาติ, ต่อ 100 มล.","Milk, low fat, pasteurised, plain, per 100 mL",5.20,3.80,1.61,54.00,0.00,0.00
J30,"นมพร่องมันเนย, พาสเจอร์ไรส์, รสหวาน, ต่อ 100 มล.","Milk, low fat, pasteurised, sweetened, per 100 mL",8.50,3.30,1.50,64.00,0.00,0.00
J31,"นมพร่องมันเนย, ยูเอชที รสต่างๆ, ต่อ 100 มล.","Milk, low fat, UHT, different flavours, per 100 mL",7.95,2.97,1.24,64.00,0.00,0.00
J54,"นมพร่องมันเนย, ยูเอชที รสธรรมชาติ, ต่อ 100 มล.","Milk, low fat, UHT, plain, per 100 mL",5.28,3.71,1.31,52.00,0.00,0.00
J1,"นมพร่องมันเนย, สเตอริไลส์, ต่อ 100 มล.","Milk, low fat, sterilised, per 100 mL",6.30,4.45,1.33,52.00,0.00,1.10
J38,"นมพาสเจอร์ไรส์, รสกาแฟ, ต่อ 100 มล.","Milk, whole, pasteurised, coffee flavour, per 100 mL",11.20,2.65,3.51,83.00,0.00,0.00
J40,"นมพาสเจอร์ไรส์, รสช็อกโกแลต, ต่อ 100 มล.","Milk, whole, pasteurised, chocolate flavour, per 100 mL",10.71,2.89,3.43,90.00,0.00,0.00
J41,"นมพาสเจอร์ไรส์, รสต่างๆ, ต่อ 100 มล.","Milk, whole, pasteurised, different flavours, per 100 mL",6.22,3.20,3.83,84.00,0.00,0.00
J39,"นมพาสเจอร์ไรส์, รสธรรมชาติ, ต่อ 100 มล.","Milk, whole, pasteurised, plain, per 100 mL",3.70,3.11,3.78,67.00,0.00,0.00
J43,"นมพาสเจอร์ไรส์, รสหวาน, ต่อ 100 มล.","Milk, whole, pasteurised, sweetened, per 100 mL",8.03,3.15,3.63,82.00,0.00,0.00
J46,"นมยูเอชที, รสช็อกโกแลต, ต่อ 100 มล.","Milk, whole, UHT, chocolate flavour, per 100 mL",9.08,3.19,3.50,85.00,0.00,0.00
J47,"นมยูเอชที, รสต่างๆ, ต่อ 100 มล.","Milk, whole, UHT, different flavours, per 100 mL",9.25,3.21,3.55,83.00,0.00,0.00
J45,"นมยูเอชที, รสธรรมชาติ, ต่อ 100 มล.","Milk, whole, UHT, plain, per 100 mL",4.72,3.20,3.74,71.00,0.00,0.00
J32,"นมยูเอชที, รสหวาน, ต่อ 100 มล.","Milk, whole, UHT, sweetened, per 100 mL",8.98,3.33,3.67,87.00,0.00,0.00
J50,"นมสเตอริไลส์, รสธรรมชาติ, ต่อ 100 มล.","Milk, whole, sterilised, plain, per 100 mL",5.17,3.29,3.42,76.00,0.00,0.00
Q49,"น้ำนมข้าวโพด, ต่อ 100 มล.","Corn, milk, per 100 mL",8.20,1.05,0.77,45.00,0.00,0.70
Q6,"เครื่องดื่มรสช็อกโกแลต, ผง","Energy drink, chocolate flavoured, powder",0.00,12.01,6.11,400.00,0.00,0.00
