Food_Code,Thai_Name,English_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
E17,เงาะ,Rambutan,0.00,0.97,0.14,0.00,17.92,0.00
E22,ชมพู่,Rose apple,0.00,0.38,0.03,7.13,4.51,0.28
N58,ซอสมะเขือเทศ,"Sauce, tomato (ketchup)",25.79,2.05,0.00,126.00,0.00,1.00
E134,"ตะโก, ผล","Persimmon, fruit",0.00,0.30,0.00,0.00,26.00,0.00
T140,ตะโก้แห้ว,Takohaew (coconut pudding with water chestnut),0.00,0.70,5.70,0.00,0.00,0.00
D317,"ตะลิงปลิง, ผล","Bilimbi, fruits (taling pling)",0.00,0.30,0.00,0.00,2.50,0.80
E138,ทับทิม,Pomegranate,0.00,0.60,0.10,0.00,0.00,0.00
E32,ทุเรียนก้านยาว,"Durian, Kanyow variety",0.00,2.67,2.96,0.00,0.00,1.60
E40,"พุทรา, ดอง","Jujube, pickled",0.00,0.90,0.11,0.00,0.00,0.00
E41,พุทราไทย,"Jujube, Thai variety",0.00,1.70,0.79,0.00,9.01,0.00
E42,พุทราลูกยาว,"Jujube, oval shape",0.00,0.70,1.70,0.00,25.50,0.00
E141,แพร์,"Pear, European",0.00,0.70,0.12,0.00,9.88,0.00
E48,"มะขาม, ดอง","Tamarind, half ripe, pickled",0.00,0.97,0.15,0.00,11.94,0.00
E49,มะขามเทศ,"Tamarind, Manila, Madrasthorn",0.00,3.50,1.00,0.00,0.00,0.00
E50,มะขามป้อม,Indian gooseberry,0.00,0.38,0.10,0.00,0.00,2.10
D118,"มะเขือเทศ, สุก","Tomato, ripe, raw",0.00,1.00,0.35,0.00,0.00,2.70
D121,"มะเขือเปราะ, ดอง","Yellow berried nightshade, pickled",0.00,1.06,0.17,0.00,5.16,2.60
E53,มะดัน,"Garcinia, fresh",0.00,0.30,0.10,0.00,7.40,0.00
E55,มะเดื่อ,Fig,0.00,1.50,0.30,0.00,11.30,0.00
T271,"มะตะบะ, ไส้ผลไม้รวม","Murtabak, mixed fruits",0.00,5.53,6.57,0.00,0.00,43.37
E135,"มะนาว, ดอง","Lime, preserved, pickled",0.00,0.94,0.11,0.00,10.32,0.00
E58,"มะปริง, แช่อิ่ม","Gandaria / Plum mango, candied",0.00,0.39,0.82,0.00,16.79,0.00
E205,"มะพร้าวอ่อน, น้ำกับเนื้อ, สายพันธุ์น้ำหอม","Coconut, young, meat and water, NamHom variety, raw",3.13,1.99,14.62,176.33,0.00,17.67
E60,มะไฟ,Rambai/ Lantern Tree,0.00,0.70,0.30,0.00,10.50,0.00
E62,"มะม่วงแก้ว, สุก","Mango, Kaew variety, ripe",0.00,0.60,0.10,0.00,0.00,1.60
E143,"มะม่วงเขียวเสวย, สุก","Mango, Kiewsaweya variety, ripe",0.00,0.50,0.80,0.00,18.20,0.00
E65,"มะม่วงตับเป็ด, สุก","Mango, Tub ped variety, ripe",0.00,1.07,0.00,0.00,22.29,0.00
E67,"มะม่วงทองดำ, สุก","Mango, Thongdum variety, ripe",0.00,0.60,0.00,0.00,19.93,0.00
E71,"มะม่วงพิมเสนมัน, สุก","Mango, Pimsenmun variety, ripe",0.00,0.85,0.40,0.00,12.00,0.60
E74,"มะม่วงหนังกลางวัน, สุก","Mango, Nungklangwan variety, ripe",0.00,0.50,0.15,0.00,20.30,0.00
E144,"มะม่วงหิมพานต์, ผล, สุก","Cashew nut, fruit, ripe",0.00,0.80,0.40,48.00,0.00,2.60
